id_entertainer,slug,name,artist_billing,featured_flag,url,categories,sponsor_info,bio_web,description,keywords,performance_count,details
13,malpass-brothers,The Malpass Brothers,,true,https://themalpassbrothers.com/,800,Leinie Lodge Bandshell is proudly sponsored by Jacob Leinenkugel Brewing Co.,"These two brothers from North Carolina play classic country music steeped in tradition. With sincerity, honesty and an utter ease on stage, these gifted songwriters create an engaging show with their smooth vocal blend, skillful musicianship and funny banter.","These two brothers from North Carolina play classic country music steeped in legacy. With sincerity, honesty and an utter ease on stage, these gifted songwriters create an engaging show with their smooth vocal blend, skillful musicianship and funny banter.",,4,"These two brothers from North Carolina play classic country music steeped in tradition. With sincerity, honesty and an utter ease on stage, these gifted songwriters create an engaging show with their smooth vocal blend, skillful musicianship and funny banter."
15,ezra-ray-hart,Ezra Ray Hart,,true,https://www.ezrarayhart.com/,800,Leinie Lodge Bandshell is proudly sponsored by Jacob Leinenkugel Brewing Co.,"The supergroup Ezra Ray Hart features Mark McGrath of Sugar Ray, Kevin Griffin of Better Than Ezra, and Emerson Hart of Tonic. Together, the members of Ezra Ray Hart have sold more than 20 million albums in the U.S. and have had 18 Top 10 hit singles on the U.S. charts, including five No. 1 hits. McGrath set the stage with Sugar Ray’s first hit single “Fly.” With new sounds that pop rock audiences have never heard before, Sugar Ray went on to land hit singles with “When It’s Over,” “Someday” and “Every Morning.” Griffin is the lead singer and guitarist for the alternative rock band Better Than Ezra. With hits such as “Good,” “A Lifetime” and “Juicy,” Griffin brings an energy like no other with his unfailing falsetto. Hart is the lead singer and songwriter of Tonic, an alternative rock band that achieved multi-platinum success with “Open Up Your Eyes,” “Take Me As I Am” and “If You Could Only See.” With all of this talent together on stage, Ezra Ray Hart is a crowd favorite, delivering hit after hit.","The supergroup Ezra Ray Hart features Mark McGrath of Sugar Ray, Kevin Griffin of Better Than Ezra, and Emerson Hart of Tonic. Together, the members of Ezra Ray Hart have sold more than 20 million albums in the U.S. and have had 18 Top 10 hit singles on the U.S. charts, including five No. 1 hits. McGrath set the stage Sugar Ray’s first hit single “Fly.” With new sounds that pop rock audiences have never heard before, the group went on to land hit singles with “When It’s Over,” “Someday” and “Every Morning.” Griffin is the lead singer and guitarist for the alternative rock band Better Than Ezra. With hits such as “Good,” “A Lifetime” and “Juicy,” Griffin brings an energy like no other with his unfailing falsetto. Hart is the lead singer and songwriter of Tonic, an alternative rock band that achieved multi-platinum success with “Open Up Your Eyes,” “Take Me As I Am” and “If You Could Only See.” With all of this talent together on stage, Ezra Ray Hart is a crowd favorite, delivering hit after hit.",,2,"The supergroup Ezra Ray Hart features Mark McGrath of Sugar Ray, Kevin Griffin of Better Than Ezra, and Emerson Hart of Tonic. Together, the members of Ezra Ray Hart have sold more than 20 million albums in the U.S. and have had 18 Top 10 hit singles on the U.S. charts, including five No. 1 hits. McGrath set the stage with Sugar Ray’s first hit single “Fly.” With new sounds that pop rock audiences have never heard before, Sugar Ray went on to land hit singles with “When It’s Over,” “Someday” and “Every Morning.” Griffin is the lead singer and guitarist for the alternative rock band Better Than Ezra. With hits such as “Good,” “A Lifetime” and “Juicy,” Griffin brings an energy like no other with his unfailing falsetto. Hart is the lead singer and songwriter of Tonic, an alternative rock band that achieved multi-platinum success with “Open Up Your Eyes,” “Take Me As I Am” and “If You Could Only See.” With all of this talent together on stage, Ezra Ray Hart is a crowd favorite, delivering hit after hit."
16,rockland-road,Rockland Road,,true,https://www.rocklandroad.com/,800,Leinie Lodge Bandshell is proudly sponsored by Jacob Leinenkugel Brewing Co.,"Vocal-driven Rockland Road is known for rich, intricately layered six-part family harmonies filled with pure, exuberant joy. Blending elements of pop, R&B and country to create a signature sound, this family plays a total of 23 instruments and has cultivated an impressive list of tricky, harmony-rich covers, as well as an eclectic mix of new music.",,,4,"Vocal-driven Rockland Road is known for rich, intricately layered six-part family harmonies filled with pure, exuberant joy. Blending elements of pop, R&B and country to create a signature sound, this family plays a total of 23 instruments and has cultivated an impressive list of tricky, harmony-rich covers, as well as an eclectic mix of new music."
18,monroe-crossing,Monroe Crossing,,true,http://www.monroecrossing.com/,800,Leinie Lodge Bandshell is proudly sponsored by Jacob Leinenkugel Brewing Co.,"Performing with a contagious enthusiasm, bluegrass quintet Monroe Crossing dazzles audiences around the world with an electrifying blend of classic bluegrass, bluegrass gospel and heartfelt originals. The group creates joyful music with clever and compelling arrangements, flawless instrumental work and unique ensemble sound.",,,4,"Performing with a contagious enthusiasm, bluegrass quintet Monroe Crossing dazzles audiences around the world with an electrifying blend of classic bluegrass, bluegrass gospel and heartfelt originals. The group creates joyful music with clever and compelling arrangements, flawless instrumental work and unique ensemble sound."
21,sister-sledge,Sister Sledge,,true,http://sistersledge.com/,800,Leinie Lodge Bandshell is proudly sponsored by Jacob Leinenkugel Brewing Co.,"Hailing from Philadelphia, Sister Sledge became a household name and symbol of unity with its 1979 worldwide hit “We Are Family” and iconic album of the same name. The multi-lead-vocal group of dynamic performers is responsible for some of the biggest dance anthems of all time. “Lost in Music,” “He’s the Greatest Dancer” and “Thinking of You” are universally cherished songs that bring people together in love, life and soulful groove. Over the years, the group has amassed a string of Gold and Platinum hits, generating sales of more than 200 million worldwide and earning hundreds of awards and commendations, including GRAMMY® nominations for Record of the Year, Best R&B Duo or Group and more. Sister Sledge has achieved a legendary place in the entertainment industry, and is continuously touring the world, bringing its authentic grooves to people of all ages and colors, upholding the true meaning of one of greatest songs of all time.","Hailing from Philadelphia, Sister Sledge became a household name and symbol of unity with its 1979 worldwide hit “We Are Family” and iconic album of the same name. The multi-lead-vocal group of four dynamic performers is responsible for some of the biggest dance anthems of all time. “Lost in Music,” “He’s the Greatest Dancer” and “Thinking of You” are universally cherished songs that bring people together in love, life and soulful groove. Over the years, the group has amassed a string of Gold and Platinum hits, generating sales of more than 200 million worldwide and earning hundreds of awards and commendations, including GRAMMY® nominations for Record of the Year, Best R&B Duo or Group and more. Sister Sledge has achieved a legendary place in the entertainment industry, and is continuously touring the world, bringing its authentic grooves to people of all ages and colors, upholding the true meaning of one of greatest songs of all time.",,2,"Hailing from Philadelphia, Sister Sledge became a household name and symbol of unity with its 1979 worldwide hit “We Are Family” and iconic album of the same name. The multi-lead-vocal group of dynamic performers is responsible for some of the biggest dance anthems of all time. “Lost in Music,” “He’s the Greatest Dancer” and “Thinking of You” are universally cherished songs that bring people together in love, life and soulful groove. Over the years, the group has amassed a string of Gold and Platinum hits, generating sales of more than 200 million worldwide and earning hundreds of awards and commendations, including GRAMMY® nominations for Record of the Year, Best R&B Duo or Group and more. Sister Sledge has achieved a legendary place in the entertainment industry, and is continuously touring the world, bringing its authentic grooves to people of all ages and colors, upholding the true meaning of one of greatest songs of all time."
22,yam-haus,Yam Haus,,true,https://www.yamhaus.com/,800,Leinie Lodge Bandshell is proudly sponsored by Jacob Leinenkugel Brewing Co.,"Yam Haus invites everyone into the embrace of their neon-hued, dancefloor-tailored alternative pop. The Minneapolis quartet — Lars Pruitt (lead vocals), Jake Felstow (drums), Zach Beinlich (bass), and Seth Blum (guitar) — fuse together intimate songcraft with stadium-size ambition. Right out of the gate, their 2018 single “West Coast” caught traction and eventually notched more than 1 million streams. In the wake of their full-length debut album Stargazer, the group graced bills with the likes of Kacey Musgraves, Tori Kelly, Adam Lambert, Bishop Briggs, Andy Grammer, AWOLNATION, lovelytheband, JOHNNYSWIM, and more. Not to mention, they emerged as hometown heroes by packing the most hallowed venue in Minneapolis: First Avenue. At the same time, their personalities shined during hilarious vlogs as they amassed just shy of 10 million YouTube views. The group’s single “The Thrill” garnered 948,000 Spotify streams and paved the way for The Band Is Gonna Make It EP in 2020. After independently amassing nearly 15 million total views and streams, playing to sold-out crowds, and building a fervent fanbase, they continue to release new music in 2021.","Minneapolis-based pop group Yam Haus is challenging the indie-dominated scene of the Twin Cities. Tight guitars, dreamy synths and clean production from GRAMMY®  award-winning producer Mark Heiermann helped drive initial successes. The group’s debut album Stargazer lands with the energy of WALK THE MOON, the charisma of Coldplay and the emotion of Ed Sheeran. Strong melodies and thoughtful songwriting become even more apparent and powerful when big production and synth-heavy tracks are stripped back with the minimal arrangements of the group’s acoustic EP Stargazer Sessions. High energy, crafted sets, dedicated fans and enticing personalities have led to numerous sold-out shows and are propelling the band into even greater heights.",,2,"Yam Haus invites everyone into the embrace of their neon-hued, dancefloor-tailored alternative pop. The Minneapolis quartet — Lars Pruitt (lead vocals), Jake Felstow (drums), Zach Beinlich (bass), and Seth Blum (guitar) — fuse together intimate songcraft with stadium-size ambition. Right out of the gate, their 2018 single “West Coast” caught traction and eventually notched more than 1 million streams. In the wake of their full-length debut album Stargazer, the group graced bills with the likes of Kacey Musgraves, Tori Kelly, Adam Lambert, Bishop Briggs, Andy Grammer, AWOLNATION, lovelytheband, JOHNNYSWIM, and more. Not to mention, they emerged as hometown heroes by packing the most hallowed venue in Minneapolis: First Avenue. At the same time, their personalities shined during hilarious vlogs as they amassed just shy of 10 million YouTube views. The group’s single “The Thrill” garnered 948,000 Spotify streams and paved the way for The Band Is Gonna Make It EP in 2020. After independently amassing nearly 15 million total views and streams, playing to sold-out crowds, and building a fervent fanbase, they continue to release new music in 2021."
23,legendary-wailers,The Legendary Wailers,,true,http://www.juniormarvinswailers.com/,800,Leinie Lodge Bandshell is proudly sponsored by Jacob Leinenkugel Brewing Co.,"In February 1977, Julian Junior Marvin was invited to perform with the band Bob Marley & The Wailers; the rest is history. The acclaimed Exodus LP was his debut with the group, which Time magazine declared the Album of the Century in 1999, while “One Love” was named Song of the Millennium in 2000. Marvin was the lead guitarist and musical contributor on all subsequent Bob Marley & The Wailers albums and toured worldwide with the group until Marley’s passing in 1981. Since then, he has released four albums with The Wailers Band and was named in Guitar World magazine’s Top 100 Guitarists of All Time. Now, Marvin has stepped out to front his own unique version of The Wailers, playing and singing Bob Marley & The Wailers hit songs the way Marley intended.","In February 1977, Julian Junior Marvin was invited to perform with the band Bob Marley & The Wailers; the rest is history. The acclaimed Exodus LP was his debut with the group, which Time magazine declared the Album of the Century in 1999, while “One Love” was named song of the Millennium in 2000. Marvin was the lead guitarist and musical contributor on all subsequent Bob Marley & The Wailers albums and toured worldwide with the group until Marley’s passing in 1981. Since then, he has released four albums with The Wailers Band and was named in Guitar World magazine’s Top 100 Guitarists of All Time. Now, Marvin has stepped out to front his own unique version of The Wailers, playing and singing Bob Marley & The Wailers hit songs the way Marley intended.",,2,"In February 1977, Julian Junior Marvin was invited to perform with the band Bob Marley & The Wailers; the rest is history. The acclaimed Exodus LP was his debut with the group, which Time magazine declared the Album of the Century in 1999, while “One Love” was named Song of the Millennium in 2000. Marvin was the lead guitarist and musical contributor on all subsequent Bob Marley & The Wailers albums and toured worldwide with the group until Marley’s passing in 1981. Since then, he has released four albums with The Wailers Band and was named in Guitar World magazine’s Top 100 Guitarists of All Time. Now, Marvin has stepped out to front his own unique version of The Wailers, playing and singing Bob Marley & The Wailers hit songs the way Marley intended."
25,break-shop-bumpn,Monster Shop Bump’n,,true,http://www.bigmouthe.com/home.html,800,Family Fair Stage at Baldwin Park is proudly sponsored by Green Mill Restaurant.,Monster Shop Bump’n is a high-energy show of head-spinning acrobatics and all-out breakdancing that is fun for the whole family. These award-winning breakers have performed throughout the world and for various music videos and television commercials.,Monster Shop Bump’n is a high-energy show of head-spinning acrobatics and all-out break dancing that is fun for the whole family. These award-winning breakers have performed throughout the world and for various music videos and television commercials. ,,36,Monster Shop Bump’n is a high-energy show of head-spinning acrobatics and all-out breakdancing that is fun for the whole family. These award-winning breakers have performed throughout the world and for various music videos and television commercials.
26,the-chipper-experience,The Chipper Experience,,true,https://www.chipper.tv/,800,Family Fair Stage at Baldwin Park is proudly sponsored by Green Mill Restaurant.,"A high-energy, hilarious one-man show, The Chipper Experience is a family-friendly crowd-pleaser. For more than 20 years, award-winning comedy magician Chipper Lowell has been bringing his odd brand of infectiously amusing mayhem to audiences around the world.","A high-energy, hilarious one-man show, The Chipper Experience is a family-friendly crowd-pleaser. For more than 20 years, award-winning comedy magician Chipper Lowell has been bringing his odd brand of infectiously amusing mayhem to audiences around the world.",,6,"A high-energy, hilarious one-man show, The Chipper Experience is a family-friendly crowd-pleaser. For more than 20 years, award-winning comedy magician Chipper Lowell has been bringing his odd brand of infectiously amusing mayhem to audiences around the world."
28,jared-sherlock,Jared Sherlock,,true,https://jaredsherlock.com/,800,Family Fair Stage at Baldwin Park is proudly sponsored by Green Mill Restaurant.,"Award-winning illusionist and comic magician Jared Sherlock is a force to be reckoned with. He blends modern magic, juggling and friendly audience interaction to deliver a high-energy show. Prepare to be razzle-dazzled!",,,6,"Award-winning illusionist and comic magician Jared Sherlock is a force to be reckoned with. He blends modern magic, juggling and friendly audience interaction to deliver a high-energy show. Prepare to be razzle-dazzled!"
29,fantastick-patrick,Fantastick Patrick,,true,https://fantastickpatrick.com/,800,Family Fair Stage at Baldwin Park is proudly sponsored by Green Mill Restaurant.,"Fresh and exciting, Fantastick Patrick creates an all-encompassing show of maximum entertainment! A unique blend of hilarity, incredible tricks and audience interaction add up to an unparalleled experience.","Fresh and exciting, Fantastick Patrick creates an all-encompassing show of maximum entertainment! A unique blend of hilarity, incredible tricks and audience interaction add up to an unparalleled experience.",,6,"Fresh and exciting, Fantastick Patrick creates an all-encompassing show of maximum entertainment! A unique blend of hilarity, incredible tricks and audience interaction add up to an unparalleled experience."
