id,pid,slug,name,type,description,excerpt,time_open,time_close,time_notes,price,price_notes,latitude,longitude
11,305,minnesota-newspaper-museum,Minnesota Newspaper Museum,,"Letterpress printing is experiencing a huge resurgence in popularity. See it in its original form as the sights and sounds of an old-time newspaper office come alive in this living-history exhibit operated by the Minnesota Newspaper Foundation. See how type is set for the newspaper, ""The Maynard News."" The museum offers insight on the importance of Minnesota community newspapers, the opportunity to visit with “Editors of the Day,” free hand-folded hats made from newspapers, hot-off-the-press merchandise and more. The exhibit also explores the impact newspapers have had on their communities and highlights the importance of freedom of the press.",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 20:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 6 p.m. on Labor Day,,,44.983413,-93.167805
12,1,aisle-of-breeds,Aisle of Breeds,,"The Aisle of Breeds, sponsored by the Minnesota Horse Expo and the Minnesota Horse Council, showcases different breeds and types of horses throughout the 12 days of the State Fair. Be sure to stop by to meet the horses and their owners, get answers to your equine questions, pet a horse or two and find out where to take horseback riding lessons in Minnesota or go for a trail ride.",,,,Please check the daily schedule for detailed Horse Barn hours.,,,44.979194,-93.176192
14,415,alphabet-forest,Alphabet Forest,,"Step inside the Alphabet Forest and discover alphabet activities for all ages. Take pictures with Fair Letters, create alphabet Ferris wheels, add your fair words to the Fair Dictionary and more! Guests can meet a different author each day in the Alphabet Forest at the Blue Ribbon Homegrown Author Showcase. Activities are brought to you by the Minnesota State Fair Foundation, MELSA Metro Public Libraries, Red Wagon Books, Winding Oak, Northwood Industries and Debra Frasier.During your visit to the fair, play the Fabulous Fair Alphabet Game. Print a Fabulous Fair Alphabet game card or pick one up from any State Fair Information Booth. Look for words in what you SEE, HEAR, READ, FEEL - and certainly in what you EAT - at the fair! Write these words on the card, recording two words for each letter of the alphabet. (For example: Write a word that begins with “A” beside the printed A. Remember that X’s are rare - simply look for words that contain an X.) Bring your completed card to the Alphabet Forest at Baldwin Park and win a blue ribbon!",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 20:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",,,,44.983409,-93.168630
15,235,baa-booth,Baa Booth,booth,"This educational exhibit for the whole family features sheep displays and fun, hands-on activities. The Baa Booth is open the first eight days of the fair.",,,,Please check the daily schedule for detailed Sheep & Poulty Barn hours.,,,44.979008,-93.174468
16,310,the-common-table,The Common Table,,"This educational, interactive exhibit inspires Minnesotans to get connected to the food they eat. The actions we take every day matter, as we are directly linked to our food. Centering around six areas of action – Buy Local; Eat Local; Grow Food; Nurture Soil; Promote Justice; and Reduce Waste, The Common Table: Minnesota Eats exhibit provides a learning opportunity and takeaway for every age and interest. The exhibit features various garden types, including an aquaponics system, more than 200 edible plants, an interactive foodscape and waste reduction kitchen, as well as dirt and compost displays, all informed by members of the local food community. ",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 8:00 pm on Labor Day,,,44.978954,-93.169317
17,235,goat-booth,Goat Booth,booth,"Get answers to fascinating questions about the tassels that hang from a goat’s neck (they’re called wattles), how much milk goats produce, why some goat breeds have such different-looking ears, and more. Plus, see a goat anatomy model. Free with fair admission.",,,,Please check the daily schedule for detailed Sheep & Poultry Barn hours.,, Free with fair admission,44.979013,-93.174625
19,1,health-fair-11,Health Fair 11,,"Health Fair 11 offers free or low-cost health checks, as well as health education and information. This year’s opportunities include information on food allergies, annual flu shots, hearing assessments, blood typing, gluten-free fair food guides, and much more! Stop by to learn about all of the healthy options for you and your family!Please note: Face coverings are required in Health Fair 11.",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 20:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",,,,44.980878,-93.169413
20,425,ag-vestigator-activitiy,Ag-Vestigator Education Station,,"Farm hands ages 11+ can grab a bookmark and pencil to learn even more about the farm and agriculture! At each stop along the path, answer agriculture-related trivia, and at the end of your journey, check your answers at the Ag-Vestigator Education Station. Receive a ribbon for your farm knowledge! Located within Little Farm Hands.",,"{'date': '2021-09-07 08:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 19:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",,,,44.985493,-93.169785
21,415,math-on-a-stick,Math On-A-Stick,,"The State Fair has everything on-a-stick — even math! The Math On-A-Stick experience is a welcoming space where kids and grown-ups can explore fun math concepts at the fair. Play with geometric and reptile-shaped tiles to create designs and patterns. Sort, count and look for what's the same and what's different in groups of colored eggs on captivating cards. Take a break from the hustle and bustle of the fair to enjoy a shapes or numbers book. Brought to you by the Minnesota State Fair Foundation.",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 20:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",,,,44.984207,-93.168637
57,210,moo-booth,Moo Booth,booth,"The award-winning Moo Booth swings open the barn doors (literally) for a cow-to-kitchen showcase of dairy and beef cattle farming–a fascinating mix of science, technology expertise and hard work. Stop on by to see a milking machine up close, hand milk a cow, meet cattle, compete in contests and learn, learn, learn! Free prizes, too.",,,,Please check the daily schedule for detailed Moo Booth hours.,,,44.978352,-93.176617
58,245,oink-booth,Oink Booth,booth,"Get a glimpse into the world of pig farming! Take a 360-degree look inside a real Minnesota pig farm and see what farmers do to care for pigs, people and the environment. See a sow and piglets up close! And don't forget to pick up your free pig ear headband!",,,,Please check the daily schedule for detailed Christensen Pavilion hours.,,,44.977976,-93.177676
63,1,butterfly-house,Butterfly House,attraction,Immerse yourself in the wonders of butterflies! These stunning creatures flit and soar around – all before your eyes!,,"{'date': '2021-09-07 08:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 22:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 9 p.m. on Labor Day,$3.50 per person,This attraction does not accept Mighty Midway and Kidway ride & game tickets. Accepts credit cards.,44.981437,-93.170792
64,1,carousel,Carousel,ride,What’s a fair without a carousel? Hop on board one of the magnificently painted horses and enjoy the classic carousel tunes.,,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 22:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 9 p.m. on Labor Day.,$3 per rider,This ride does not accept Mighty Midway and Kidway ride & game tickets.,44.980790,-93.172645
66,1,giant-slide,Giant Slide,ride,"For more than 50 years at the Minnesota State Fair, this iconic five-story attraction gives riders of all generations a thrill down a slide much larger than the one found on your average playground.",A classic attraction at the Minnesota State Fair for more than half a century!,"{'date': '2021-09-07 08:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 23:30:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 9 p.m. on Labor Day.,$3 per rider,"Riders must be 45 inches or taller to ride unaccompanied; anyone under 45 inches must ride with a parent or guardian. Expectant mothers, heart and back patients are advised not to ride. This attraction does not accept Mighty Midway and Kidway ride & game tickets.",44.980236,-93.171925
68,1,great-big-wheel,Great Big Wheel,ride,"One of the tallest traveling giant Ferris wheels in North America is coming to the Minnesota State Fair! The Great Big Wheel carries riders to a height of 156 feet, offering breathtaking views of the State Fairgrounds and beyond! The 15-story-tall Great Big Wheel is equipped with 36 enclosed gondolas each holding six people. Don’t miss the spectacular lighting display as the sun goes down!",One of the tallest traveling giant Ferris wheels in North America makes a stop at the Minnesota State Fair!,"{'date': '2021-09-07 10:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 23:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 9:30 p.m. on Labor Day.,$6 per rider,This attraction does not accept Mighty Midway and Kidway ride & game tickets. Accepts credit cards.,44.984145,-93.169462
70,1,haunted-house,Haunted House,attraction,"Spooks, scares and thrills abound in this State Fair classic!",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 23:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 9 p.m. on Labor Day.,$5 per person,This attraction does not accept Mighty Midway and Kidway ride & game tickets.,44.978339,-93.170115
71,1,montys-traveling-reptile-show,Monty’s Traveling Reptile Show,attraction,"Alligators and snakes and lizards, oh my! A fixture since the 1980s, this traveling reptile show shows the young and young at heart amazing reptiles up close!",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",,$3 per person,This attraction does not accept Mighty Midway and Kidway ride & game tickets.,44.979341,-93.172060
73,1,skyglider,SkyGlider,ride,Get a bird’s-eye view of the spectacular fairgrounds while traveling from the heart of the fairgrounds to the North End and back. This chairlift-style ride is a great form of transportation — and an excellent way to snap some aerial shots!,Get a bird’s-eye view of the spectacular fairgrounds while traveling from the heart of the fairgrounds to the North End and back.,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",,closes immediately after fireworks,$5 one way$8 round trip,This attraction does not accept Mighty Midway and Kidway ride & game tickets.,44.981422,-93.171057
74,73,skyglider-north,SkyGlider (North Side Terminal),,Get a bird’s-eye view of the spectacular fairgrounds while traveling from the north end to the heart of the fairgrounds. This chairlift-style ride is a great form of transportation – and an excellent way to snap some aerial shots!,,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",,Closes immediately after fireworks,$4.50 one way$7 round trip,This attraction does not accept Mighty Midway and Kidway ride & game tickets.,44.986892,-93.169409
75,73,skyglider-south,SkyGlider (South Side Terminal),,Get a bird’s-eye view of the spectacular fairgrounds while traveling from the heart of the fairgrounds to the north end. This chairlift-style ride is a great form of transportation – and an excellent way to snap some aerial shots!,,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",,Closes immediately after fireworks,$4.50 one way$7 round trip,This attraction does not accept Mighty Midway and Kidway ride & game tickets.,44.981481,-93.171177
76,1,skyride,Skyride,ride,"If you’re traveling from east to west or west to east on the fairgrounds, consider a trip on the gondola-style Skyride. Ride over a sea of fair guests – and maybe plot out the rest of your day with this exceptional bird’s-eye view!","Traveling from east to west or west to east on the fairgrounds, consider a trip on the gondola-style Skyride!","{'date': '2021-09-07 08:30:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 22:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 9 p.m. on Labor Day.,$5 one way$8 round trip,This attraction does not accept Mighty Midway and Kidway ride & game tickets. Accepts credit cards.,44.979912,-93.169338
77,76,skyride-east,Skyride (East Side Terminal),,"If you’re traveling from east to west on the fairgrounds, consider a trip on the gondola-style Skyride. Ride over a sea of fair guests – and maybe plot out the rest of your day with this exceptional bird’s-eye view!",,"{'date': '2021-09-07 08:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 22:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",,$4.50 one way$7 round trip,This attraction does not accept Mighty Midway and Kidway ride & game tickets. Accepts credit cards.,44.979775,-93.169311
78,76,skyride-west,Skyride (West Side Terminal),,"If you’re traveling from west to east on the fairgrounds, consider a trip on the gondola-style Skyride. Ride over a sea of fair guests – and maybe plot out the rest of your day with this exceptional bird’s-eye view!",,"{'date': '2021-09-07 08:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 22:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",,$4.50 one way$7 round trip,This attraction does not accept Mighty Midway and Kidway ride & game tickets. Accepts credit cards.,44.981015,-93.175711
79,1,space-tower,Space Tower,ride,"A State Fair staple since 1965, the Space Tower is your ticket to see breathtaking views of the fairgrounds and beyond! This slowly circulating ride provides a 360-degree look at the Twin Cities.","A State Fair staple since 1965, the Space Tower is your ticket to see breathtaking views of the fairgrounds and beyond!","{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 8 p.m. on Labor Day.,$5 per rider,This attraction does not accept Mighty Midway and Kidway ride & game tickets.,44.979713,-93.168446
80,1,krazy-maze,Krazy Maze,attraction,Get lost and have a blast! This super-sized race against the clock to find hidden letters – and the way out - is designed for adventurous visitors who want to lose themselves in a maze filled with lights and music. Maze explorers become a spectacle as family and friends watch the excitement from a viewing deck. Cost is $5 per person.,A maze filled with lights and music is designed for adventurous visitors young and old! ,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",,$5 per person,No age or height restrictions. This ride does not accept Mighty Midway and Kidway ride & game tickets,44.984703,-93.168840
81,1,ye-old-mill,Ye Old Mill,ride,"Touted as the “original tunnel of love,” Ye Old Mill is the oldest attraction on the fairgrounds. Take a relaxing boat ride in a dark tunnel – and see some kitschy vignettes while you do!","Touted as the “original tunnel of love,” Ye Old Mill is the oldest attraction on the fairgrounds.","{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",,$4 per rider,This attraction does not accept Mighty Midway and Kidway ride & game tickets.,44.979762,-93.170977
96,325,creative-activities-annex,Creative Activities Annex,building,"After perusing ribbon-winning handwork, and baked and canned goods in the Creative Activities Building, shop for the latest in culinary gadgets, specialty food, home décor, accessories and more in the attached Creative Activities Annex.",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 8 p.m. on Labor Day,,,44.981689,-93.167621
105,415,family-fair-stage,Family Fair Stage,stage,"Looking for some family-friendly entertainment? Head over to the Family Fair Stage at Baldwin Park! From breakdancers to comedic magicians, there is fun for all ages. Free with fair admission!",,,,,,,44.984191,-93.168584
110,1,dan-patch-park-stage,Dan Patch Park & Stage,stage,"Come help celebrate Minnesota culture, community, arts, education and sciences with the interactive programming on the Dan Patch Park Stage! Stick around the park to visit various informational booths and engage with visiting groups from around Minnesota. ",,,,,,,44.980385,-93.174049
111,1,west-grandstand-plaza,West Grandstand Plaza,,,,,,,,,44.980979,-93.174391
112,1,east-grandstand-plaza,East Grandstand Plaza,,,,,,,,,44.981184,-93.172156
115,3,grandstand-stage,Grandstand Stage,stage,"From pop to country to rock to everything in between, the Grandstand hosts 11 nights of the nation's top touring talent! These shows require a paid admission ticket.",,,,,,,44.981997,-93.173279
120,470,schells-stage-at-schilling-amphitheater,Schell's Stage at Schilling Amphitheater,stage,"All day long you can hear the sounds of indie rock, folk music and pop from the Schell’s Stage at Schilling Amphitheater. Maybe even catch some fiddling or bluegrass in between it all. Be sure to come back for West End at Sunset shows each night starting at 8 p.m. (7:30 p.m. on Labor Day). Free with fair admission!",,,,,,,44.981517,-93.177621
125,5,international-bazaar-stage,International Bazaar Stage,stage,"The sounds of cultures from Minnesota and around the world heat up the International Bazaar Stage. Stop by during the day to experience polka, brass, jazz, funk, Tex-Mex, R&B, rock, dance and more, and come back for Bazaar After Dark shows each night at 8 p.m. (7:30 p.m. on Labor Day). Free with fair admission!",,,,,,,44.978081,-93.169693
135,1,leinie-lodge-bandshell-stage,Leinie Lodge Bandshell Stage,stage,"Delivering both local and national talent for decades, the Leinie Lodge Bandshell is always a top draw — plus it's FREE with fair admission!",,,,,,,44.980181,-93.168763
140,141,the-north-woods-stage,The North Woods Stage,stage,"Happening daily at The North Woods Stage, don’t miss a (p)awfully fun time at the All-Star Stunt Dogs Splash, where talented pups fly through the air and perform tricks! Also here, strong and skilled lumberjacks and lumberjills climb trees, saw logs and so much more at the Timberworks Lumberjack Show. It's all free with fair admission! The 2 & 3 p.m. shows are ASL interpreted. ",,,,,,,44.985378,-93.168707
141,1,the-north-woods,The North Woods,,,,,,,,,44.985313,-93.168843
145,7,ramberg-music-cafe-stage,Ramberg Music Cafe Stage,stage,Come listen to talented singers and songwriters as they share music from traditional country to the unique sounds of bluegrass tunes. You are sure to enjoy what you hear at the Ramberg Music Cafe Stage. Free with fair admission. ,,,,,,,44.978989,-93.171146
200,1,livestock-complex,Livestock Complex,,,,,,,,,44.978610,-93.176208
205,200,cattle-annex,Cattle Annex,,,,,,,,,44.977510,-93.176263
210,200,cattle-barn,Cattle Barn,barn,"This majestic, century-old, 117,450-square-foot brick structure is so massive it can house 1,000 head of cattle! Wander the aisles for an up-close look at a variety of dairy and beef cattle breeds. Watch cows being milked, join in fun ag-related activities, and learn about cattle at the Moo Booth and Milking Parlor.",,,,Please check the daily schedule for detailed Cattle Barn hours.,,,44.978103,-93.176251
215,200,exercise-ring,Exercise Ring,,,,,,,,,44.977532,-93.174610
220,200,horse-barn,Horse Barn,barn,"You’ll find a mesmerizing mix of majestic equine breeds all preparing for competition. When the barn is full, that could be up to 500 horses at one time! Stroll down the Aisle of Breeds to meet myriad horses and their owners.",,,,"Please check the daily schedule for detailed Horse Barn hours. Closed on Tuesday, Aug. 31.",,,44.979162,-93.176263
225,200,horse-barn-annex,Horse Barn Annex,,,,,,,,,44.979180,-93.177230
230,200,compeer-arena,Compeer Arena,barn,"Competitions, exhibitions and more keep this arena busy during the fair. From cattle to goats and more, there's something for everyone to see. Make sure to check out a daily schedule for all the events taking place here.",,,,,,,44.979060,-93.177741
235,200,sheep-and-poultry-barn,Sheep & Poultry Barn,barn,"Sheep, chickens, roosters, turkeys, pigeons, rabbits and goats – oh my! A variety of livestock comes and goes in this barn throughout the fair, so you’re guaranteed to be wowed by different breeds each day. Most of the competitions take place right in the barn. The Baa Booth, open the first eight days of the fair, features educational sheep displays and fun hands-on activities. The Goat Booth, open the last four days of the fair, displays fun activities and a variety of goat breeds.",,,,Please check the daily schedule for detailed Sheep & Poultry Barn hours.,,,44.978976,-93.173898
245,200,robert-a-christensen-pavilion,Robert A. Christensen Pavilion,barn,"Always bustling with activity, the Robert A. Christensen Pavilion (formerly Swine Barn) is home to 2,000 swine in a multitude of breeds competing over the fair’s 12 days in 4-H, FFA and open class exhibitions. Most of the competitions take place in show rings right in the center of the barn. Don't miss a visit to the winner of the largest boar contest, and stop by the Oink Booth educational exhibit to see a sow and piglets up close and learn more about the swine industry.",,,,Please check the daily schedule for detailed Christensen Pavilion hours.,,,44.978055,-93.177944
305,1,4h-building,4-H Building,building,"Thousands of talented 4-H youth from throughout the state showcase their award-winning exhibits on topics from aerospace to fine arts to health to veterinary science and dozens of categories in between. High-energy song and dance performances, engineering challenges, and a wide range of demonstrations also fill the building.For information on all 4-H activities at the fair, download the 4-H at the Minnesota State Fair app or visit https://extension.umn.edu/fairs-events-and-training/4-h-minnesota-state-fair",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 8 p.m. on Labor Day,,,44.983305,-93.167568
310,1,agriculture-horticulture-building,Agriculture Horticulture Building,building,"Minnesota’s bounty abounds in this iconic octagon-shaped building, which hosts the fair’s popular crop art competition featuring art created using Minnesota-grown seeds; the Minnesota Craft Brewers Guild, which sells flights of Minnesota-made craft beer; ribbon-winning fruits and vegetables, including giant pumpkins and the Minnesota apple exhibit; gorgeous flower shows; bee & honey displays; a towering center rotunda with an annually themed exhibit by local florists; and more! ",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 8 p.m. on Labor Day,,,44.979215,-93.169699
315,200,chs-miracle-of-birth-center,CHS Miracle of Birth Center,building,"This one-of-a-kind agricultural education exhibit is home to baby animals - calves, lambs, goats and piglets - during the State Fair’s 12 days. Staffed by volunteers with FFA and the Minnesota Veterinary Medical Association, this is one of the most popular free exhibits at the fair. Learn more about different egg production systems, veterinary science, and stop by the adjoining FFA Chapter House & Leadership Center. ",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 3 p.m. on Labor Day,,,44.978117,-93.172999
324,325,cambria-kitchen,Cambria Kitchen,,,,,,,,,44.981711,-93.167618
325,1,creative-activities-building,Creative Activities Building,building,"Marvel at decorated cakes, pristine woodwork, clever quilts on-a-stick and more than 8,000 of the finest handcrafts, needlework, and baked and canned goods created by talented Minnesotans. Cambria Kitchen — located inside the Creative Activities Building — features insightful culinary demonstrations throughout the fair.",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 8 p.m. on Labor Day,,,44.981608,-93.167562
326,1,crossroads-chapel-and-stage,Crossroads Chapel and Stage,stage-independent,Entertainers are booked and compensated by the independent concessionaires that host them at these privately owned venues. The Minnesota State Fair is not responsible for scheduling of any entertainers listed below (schedules are posted as information becomes available and are subject to change).,,,,,,,44.981733,-93.170228
328,1,dairy-building,Dairy Building,building,"Home to the famed Princess Kay butter sculptures and cool and creamy malts and sundaes, the Dairy Building is also a great place to find Minnesota-based outdoor gear, home improvement merchandise, wool products and so much more.",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 8 p.m. on Labor Day,,,44.978236,-93.170921
330,1,eco-experience,Eco Experience,building,"Get inspired to lead a more sustainable life with easy, everyday reduce-reuse-recycle how-tos and engaging, interactive exhibits on renewable energy, green technology, organic agriculture, transportation alternatives, healthy cooking, and clean air and water. Presented by the Minnesota Pollution Control Agency and the Minnesota State Fair.Face coverings are required in Eco Experience.",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 8 p.m. on Labor Day,,,44.984882,-93.167999
335,1,education-building,Education Building,building,"Every year, thousands of Minnesota’s most talented kindergarten through 12th-graders enter their art, creative writing, woodworking, crafts, school projects and more into the State Fair’s K-12 competition. See their amazing ribbon-winning work on display! Plus, watch robotics demonstrations by middle and high schoolers, and visit with a variety of educational institutions and nonprofit exhibitors.",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 8 p.m. on Labor Day,,,44.982521,-93.167550
336,335,cosgrove-stage,Cosgrove Stage,stage,"The Cosgrove Stage is filled with energy each day as various dance groups showcase their moves. Come see groups that represent square dance, swing dance and Zumba®, just to name a few!",,,,,,,44.982082,-93.167892
